26-03-25 14:58:10.667 :   task: train
  gpu_ids: [0]
  log_path: ./log
  model_save: ./model_save
  pretained_path:[
    index: False
    path: ./model_save/model_best1.pth
  ]
  batch_size: 4
  nc: [16, 1]
  patch_size: [128, 128]
  stride_size: [16, 16]
  atoms: 50
  d_size: 3
  max_epoch: 1000
  stage: 3
  lr: 0.0001
  loss_function_index: 1
  n_channels: 1
  train:[
    sigma: [15, 50]
    dataroot_H: ./dataset/gray_train_all
    H_size: 128
    n_channels: 1
  ]
  valid:[
    sigma: [15, 25, 50]
    dataroot_H: ./dataset/gray_test
    n_channels: 1
  ]
  opt_path: ./options/train_options.json
  is_train: True
  scale: 1

26-03-25 14:58:10.676 : 训练集大小: 1120
26-03-25 14:58:10.676 : 验证集数量: 720 (每个 sigma 一个 Dataset)
26-03-25 14:58:11.878 : Number of parameter: 3.26M
26-03-25 14:58:11.879 : start training...
26-03-25 15:01:05.758 : epoch:[1/1000], 平均loss: 0.0565
26-03-25 15:04:01.287 : epoch:[2/1000], 平均loss: 0.0343
26-03-25 15:06:55.087 : epoch:[3/1000], 平均loss: 0.0318
26-03-25 15:09:49.020 : epoch:[4/1000], 平均loss: 0.0304
26-03-25 15:12:43.971 : epoch:[5/1000], 平均loss: 0.0287
26-03-25 15:15:40.268 : epoch:[6/1000], 平均loss: 0.0287
26-03-25 15:18:35.830 : epoch:[7/1000], 平均loss: 0.0281
26-03-25 15:21:31.310 : epoch:[8/1000], 平均loss: 0.0277
26-03-25 15:24:24.628 : epoch:[9/1000], 平均loss: 0.0270
26-03-25 15:27:10.927 : epoch:[10/1000], 平均loss: 0.0265
26-03-25 15:30:30.733 : [epoch 10 PSNR: 30.0869 Best: 30.0869]
26-03-25 15:33:19.084 : epoch:[11/1000], 平均loss: 0.0265
26-03-25 15:36:04.076 : epoch:[12/1000], 平均loss: 0.0262
26-03-25 15:38:47.858 : epoch:[13/1000], 平均loss: 0.0262
26-03-25 15:41:31.303 : epoch:[14/1000], 平均loss: 0.0262
26-03-25 15:44:17.129 : epoch:[15/1000], 平均loss: 0.0259
26-03-25 15:47:03.509 : epoch:[16/1000], 平均loss: 0.0255
26-03-25 15:49:50.085 : epoch:[17/1000], 平均loss: 0.0257
26-03-25 15:52:36.574 : epoch:[18/1000], 平均loss: 0.0254
26-03-25 15:55:23.155 : epoch:[19/1000], 平均loss: 0.0252
26-03-25 15:58:07.802 : epoch:[20/1000], 平均loss: 0.0253
26-03-25 16:01:27.199 : [epoch 20 PSNR: 30.9379 Best: 30.9379]
26-03-25 16:04:15.078 : epoch:[21/1000], 平均loss: 0.0251
26-03-25 16:06:57.813 : epoch:[22/1000], 平均loss: 0.0252
26-03-25 16:09:38.421 : epoch:[23/1000], 平均loss: 0.0246
26-03-25 16:12:19.581 : epoch:[24/1000], 平均loss: 0.0245
26-03-25 16:15:00.140 : epoch:[25/1000], 平均loss: 0.0248
26-03-25 16:17:41.366 : epoch:[26/1000], 平均loss: 0.0248
26-03-25 16:20:22.409 : epoch:[27/1000], 平均loss: 0.0244
26-03-25 16:23:02.950 : epoch:[28/1000], 平均loss: 0.0246
26-03-25 16:25:43.960 : epoch:[29/1000], 平均loss: 0.0242
26-03-25 16:28:24.954 : epoch:[30/1000], 平均loss: 0.0244
26-03-25 16:31:42.182 : [epoch 30 PSNR: 31.1468 Best: 31.1468]
26-03-25 16:34:22.952 : epoch:[31/1000], 平均loss: 0.0241
26-03-25 16:37:03.595 : epoch:[32/1000], 平均loss: 0.0242
26-03-25 16:39:44.321 : epoch:[33/1000], 平均loss: 0.0244
26-03-25 16:42:25.097 : epoch:[34/1000], 平均loss: 0.0242
26-03-25 16:45:06.289 : epoch:[35/1000], 平均loss: 0.0241
26-03-25 16:47:46.798 : epoch:[36/1000], 平均loss: 0.0240
26-03-25 16:50:27.292 : epoch:[37/1000], 平均loss: 0.0238
26-03-25 16:53:08.034 : epoch:[38/1000], 平均loss: 0.0240
26-03-25 16:55:48.891 : epoch:[39/1000], 平均loss: 0.0241
26-03-25 16:58:29.968 : epoch:[40/1000], 平均loss: 0.0239
26-03-25 17:01:47.417 : [epoch 40 PSNR: 31.2690 Best: 31.2690]
26-03-25 17:04:28.318 : epoch:[41/1000], 平均loss: 0.0239
26-03-25 17:07:09.061 : epoch:[42/1000], 平均loss: 0.0240
26-03-25 17:09:49.820 : epoch:[43/1000], 平均loss: 0.0238
26-03-25 17:12:30.579 : epoch:[44/1000], 平均loss: 0.0240
26-03-25 17:15:12.355 : epoch:[45/1000], 平均loss: 0.0238
26-03-25 17:17:53.716 : epoch:[46/1000], 平均loss: 0.0238
26-03-25 17:20:35.074 : epoch:[47/1000], 平均loss: 0.0238
26-03-25 17:23:15.933 : epoch:[48/1000], 平均loss: 0.0237
26-03-25 17:25:57.144 : epoch:[49/1000], 平均loss: 0.0237
26-03-25 17:28:38.535 : epoch:[50/1000], 平均loss: 0.0237
26-03-25 17:31:56.006 : [epoch 50 PSNR: 31.3578 Best: 31.3578]
26-03-25 17:34:36.750 : epoch:[51/1000], 平均loss: 0.0237
26-03-25 17:37:17.361 : epoch:[52/1000], 平均loss: 0.0235
26-03-25 17:39:57.968 : epoch:[53/1000], 平均loss: 0.0235
26-03-25 17:42:38.663 : epoch:[54/1000], 平均loss: 0.0237
26-03-25 17:45:19.456 : epoch:[55/1000], 平均loss: 0.0236
26-03-25 17:47:59.981 : epoch:[56/1000], 平均loss: 0.0236
26-03-25 17:50:40.389 : epoch:[57/1000], 平均loss: 0.0237
26-03-25 17:53:20.833 : epoch:[58/1000], 平均loss: 0.0235
26-03-25 17:56:01.459 : epoch:[59/1000], 平均loss: 0.0236
26-03-25 17:58:42.752 : epoch:[60/1000], 平均loss: 0.0236
26-03-25 18:02:00.330 : [epoch 60 PSNR: 31.3900 Best: 31.3900]
26-03-25 18:04:40.817 : epoch:[61/1000], 平均loss: 0.0236
26-03-25 18:07:21.226 : epoch:[62/1000], 平均loss: 0.0235
26-03-25 18:10:01.769 : epoch:[63/1000], 平均loss: 0.0234
26-03-25 18:12:42.312 : epoch:[64/1000], 平均loss: 0.0237
26-03-25 18:15:22.971 : epoch:[65/1000], 平均loss: 0.0236
26-03-25 18:18:03.915 : epoch:[66/1000], 平均loss: 0.0235
26-03-25 18:20:44.907 : epoch:[67/1000], 平均loss: 0.0234
26-03-25 18:23:25.415 : epoch:[68/1000], 平均loss: 0.0235
26-03-25 18:26:06.408 : epoch:[69/1000], 平均loss: 0.0235
26-03-25 18:28:47.534 : epoch:[70/1000], 平均loss: 0.0235
26-03-25 18:32:04.971 : [epoch 70 PSNR: 31.4184 Best: 31.4184]
26-03-25 18:34:45.567 : epoch:[71/1000], 平均loss: 0.0234
26-03-25 18:37:26.176 : epoch:[72/1000], 平均loss: 0.0235
26-03-25 18:40:06.667 : epoch:[73/1000], 平均loss: 0.0234
26-03-25 18:42:48.078 : epoch:[74/1000], 平均loss: 0.0234
26-03-25 18:45:28.770 : epoch:[75/1000], 平均loss: 0.0236
26-03-25 18:48:09.981 : epoch:[76/1000], 平均loss: 0.0234
26-03-25 18:50:51.473 : epoch:[77/1000], 平均loss: 0.0236
26-03-25 18:53:33.082 : epoch:[78/1000], 平均loss: 0.0233
26-03-25 18:56:14.274 : epoch:[79/1000], 平均loss: 0.0234
26-03-25 18:58:55.351 : epoch:[80/1000], 平均loss: 0.0234
26-03-25 19:02:12.922 : [epoch 80 PSNR: 31.4447 Best: 31.4447]
26-03-25 19:04:54.234 : epoch:[81/1000], 平均loss: 0.0232
26-03-25 19:07:34.808 : epoch:[82/1000], 平均loss: 0.0235
26-03-25 19:10:15.535 : epoch:[83/1000], 平均loss: 0.0233
26-03-25 19:12:56.294 : epoch:[84/1000], 平均loss: 0.0231
26-03-25 19:15:40.703 : epoch:[85/1000], 平均loss: 0.0233
26-03-25 19:18:22.048 : epoch:[86/1000], 平均loss: 0.0236
26-03-25 19:21:02.704 : epoch:[87/1000], 平均loss: 0.0234
26-03-25 19:23:43.432 : epoch:[88/1000], 平均loss: 0.0232
26-03-25 19:26:24.707 : epoch:[89/1000], 平均loss: 0.0232
26-03-25 19:29:05.783 : epoch:[90/1000], 平均loss: 0.0233
26-03-25 19:32:23.520 : [epoch 90 PSNR: 31.4593 Best: 31.4593]
26-03-25 19:35:04.883 : epoch:[91/1000], 平均loss: 0.0233
26-03-25 19:37:46.076 : epoch:[92/1000], 平均loss: 0.0231
26-03-25 19:40:27.351 : epoch:[93/1000], 平均loss: 0.0233
26-03-25 19:43:07.978 : epoch:[94/1000], 平均loss: 0.0233
26-03-25 19:45:48.703 : epoch:[95/1000], 平均loss: 0.0234
26-03-25 19:48:29.478 : epoch:[96/1000], 平均loss: 0.0234
26-03-25 19:51:10.054 : epoch:[97/1000], 平均loss: 0.0232
26-03-25 19:53:50.781 : epoch:[98/1000], 平均loss: 0.0232
26-03-25 19:56:31.589 : epoch:[99/1000], 平均loss: 0.0235
26-03-25 19:59:12.365 : epoch:[100/1000], 平均loss: 0.0231
